Size (bytes),Bandwidth (MB/s),Timestamp
1024,5.42991649695441,2025-02-08T12:54:56+05:30
102400,192.4435037503272,2025-02-07T16:18:58Z
10240,51.7448414860481,2025-02-07T18:54:35Z
102400,199.4512828550271,2025-02-07T18:54:36Z
10240,52.81477772475065,2025-02-08T12:54:57+05:30
102400,232.76987480809333,2025-02-08T12:54:57+05:30
1024,4.99204294233742,2025-02-07T17:14:06Z
102400,177.6051755502615,2025-02-07T17:14:07Z
10240,48.66077815090015,2025-02-07T16:18:57Z
1024,4.941232669141092,2025-02-07T17:08:39Z
1024,5.548832639252794,2025-02-07T18:54:34Z
1048576,288.3662913804983,2025-02-07T18:54:39Z
1048576,366.86517270351345,2025-02-08T12:55:01+05:30
1048576,280.2615154280259,2025-02-07T17:14:11Z
1024,5.125429578244293,2025-02-07T16:18:57Z
10240,44.36591223986538,2025-02-07T17:08:39Z
10240,48.692439136027936,2025-02-07T17:14:06Z
1048576,290.5665061937492,2025-02-07T16:19:02Z
1048576,269.1909918407804,2025-02-07T17:08:44Z
102400,167.13964158000618,2025-02-07T17:08:40Z
